upi_number,upi_holder_name,state,dob,pin_code,datetime,transaction_amount,seller_name,merchant_category,is_scam
9015834990,Vamakshi Thaker,Sikkim,1980-07-18,808569,2024-10-08 09:49:52,2851.57,Maharaj-Saraf,Utilities,1
9781639598,Jagvi Badal,Goa,1980-07-11,840107,2024-06-15 13:24:32,36148.63,Shan-Kibe,Electronics,0
6735607578,Aarna Bhargava,Jammu and Kashmir,1999-10-31,708682,2024-12-23 21:55:05,4057.85,Murty-Sandal,Utilities,1
8729295410,Charita Mitter,Madhya Pradesh,1981-12-28,417947,2024-12-27 16:44:44,18524.69,Yohannan and Sons,Travel,1
7412917926,Vasatika Shan,Meghalaya,1969-08-26,680931,2025-01-15 11:31:57,35838.29,Subramaniam and Sons,Clothing,0
7531028783,Frederick Saini,Arunachal Pradesh,1964-07-22,984084,2024-07-04 21:04:50,34189.62,Khatri-Rege,Travel,1
6332775689,Warinder Saran,Chhattisgarh,1970-11-04,473403,2024-06-02 10:20:38,8821.24,Ghose LLC,Electronics,0
7580673162,Atharv Krish,Odisha,1975-01-24,053899,2024-11-15 05:51:19,17484.17,"Bhatia, Tiwari and Edwin",Travel,1
7234907411,Suhani Goda,Uttar Pradesh,1985-10-26,892661,2024-09-22 06:18:52,49683.9,Dugal-Sharaf,Groceries,0
6837270889,Warhi Andra,Chhattisgarh,1972-11-05,159162,2025-04-10 15:17:13,20743.14,Venkatesh-Kohli,Clothing,0
6739056857,Ishani Ravi,Madhya Pradesh,1991-10-18,070920,2024-05-14 18:21:00,36978.37,Mandal Inc,Electronics,0
7517988421,Samar Chadha,Bihar,1999-08-11,130451,2025-02-21 16:02:46,49500.17,"Mittal, Kapoor and Dixit",Utilities,1
8511496033,Charles Venkatesh,Dadra and Nagar Haveli and Daman and Diu,2003-02-05,685007,2024-05-13 04:40:09,5937.78,"Narayanan, Kalla and Varghese",Utilities,0
9544764244,Mugdha Pau,Madhya Pradesh,1983-05-18,162540,2025-02-13 15:18:32,42167.92,Chowdhury-Pant,Groceries,0
7860355246,Ridhi Dixit,Uttarakhand,1981-09-22,882636,2024-12-19 06:18:17,722.05,Pau-Dixit,Electronics,1
6815701880,Brijesh Oza,Chandigarh,2000-08-24,010201,2024-07-15 23:13:44,2348.96,Sandhu-Sehgal,Utilities,1
9145698892,Nihal Agarwal,Uttarakhand,1972-03-24,596712,2025-01-08 03:24:26,2096.11,Bumb Inc,Electronics,1
8432568542,Bhavika Soman,Telangana,2000-01-02,364287,2024-10-24 15:23:24,14072.53,Dar-Dugar,Electronics,0
6197114396,Yug Rai,Puducherry,1989-02-03,723916,2025-01-19 08:42:36,17417.94,Sunder-Sarma,Clothing,0
8218566008,Anjali Barad,Nagaland,1990-01-26,408000,2024-06-11 09:29:17,1606.49,Khanna Ltd,Utilities,1
6359110217,Yagnesh Varma,Chandigarh,2001-07-28,209678,2024-08-18 21:45:56,43427.61,Sangha-Shankar,Travel,1
8661478418,Teerth Wali,Himachal Pradesh,1976-09-02,634666,2024-08-29 07:57:42,37626.71,Ramanathan and Sons,Utilities,0
6720077503,Zehaan Puri,Maharashtra,1977-06-21,586064,2024-08-29 19:46:14,39052.78,Sankar LLC,Utilities,0
6073909727,Abhimanyu Bath,Madhya Pradesh,1978-05-16,040065,2024-05-02 20:59:44,5244.58,"Hans, Bhardwaj and Lad",Electronics,0
6301883693,Xiti Saxena,Goa,1974-04-22,422752,2024-09-19 02:27:45,1115.79,Wadhwa-Patla,Clothing,1
8669574906,Laban Sundaram,Punjab,2002-08-01,661780,2024-07-12 17:16:54,36597.18,"Ramaswamy, Iyer and Roy",Travel,0
8683368560,Damyanti Kalla,Tamil Nadu,1997-09-12,993858,2024-08-31 08:54:47,20312.52,"Dada, Dara and Manne",Electronics,1
7058972633,Aadhya Murty,Himachal Pradesh,1978-08-04,682280,2024-09-13 04:52:22,22927.6,Munshi-Sharaf,Electronics,1
9415920606,Chatura Hayer,Nagaland,1981-02-20,358683,2024-07-26 12:32:47,4051.61,Singhal Group,Travel,0
6218194454,Charita Nazareth,Haryana,1990-05-09,120464,2024-04-27 05:39:15,39377.56,Dhar and Sons,Groceries,0
9710852651,Ojasvi Prasad,Madhya Pradesh,1966-01-08,655340,2024-08-13 12:25:30,6397.7,"Dubey, Mall and Rai",Utilities,1
7998520622,Anthony Dube,Gujarat,1964-10-18,950622,2025-02-22 12:02:31,20853.85,"Bajaj, Patla and Issac",Electronics,1
8270925587,Umang Parekh,Mizoram,1990-10-10,339819,2024-09-10 15:01:40,31643.37,Mishra LLC,Electronics,0
6676538397,Oni Biswas,Manipur,2000-02-17,346117,2025-02-13 08:58:20,38046.68,"Chowdhury, Konda and Chaudry",Electronics,1
7114968161,Bimala Gandhi,Uttarakhand,1968-10-16,975855,2024-12-27 21:10:31,17782.77,"Bhasin, Subramanian and Hayer",Clothing,0
9059642965,Kavya Bala,Haryana,1978-02-18,082797,2025-04-03 13:02:20,15551.01,Guha-Bansal,Utilities,0
7974395159,Harshil Radhakrishnan,Mizoram,1971-01-27,049461,2024-04-26 14:57:50,42019.52,Basak PLC,Travel,0
8323250881,Netra Sethi,Madhya Pradesh,2000-03-16,320222,2024-05-28 03:06:51,28215.88,"Dutt, Khosla and Varma",Groceries,0
7928478057,Gavin Madan,Ladakh,1992-02-04,289120,2024-12-02 01:53:35,27370.06,"Jayaraman, Dara and Sunder",Groceries,0
7503487922,Gabriel Ganguly,Assam,1969-10-08,624419,2024-10-06 20:12:23,45574.19,Kakar-Hegde,Travel,1
8167900746,Jason Roy,Maharashtra,1965-09-20,109963,2024-06-03 16:18:19,21014.96,"Sethi, Yogi and Sethi",Clothing,1
6514818667,Peter De,Tripura,1997-06-20,070269,2025-01-31 22:25:20,41482.95,"Savant, Chahal and Raval",Utilities,0
7560242622,Lekha Tailor,Delhi,1994-08-11,276252,2025-04-03 02:28:59,24488.23,Tak LLC,Clothing,0
8268411367,Vinaya Doctor,Chhattisgarh,1971-08-22,191753,2025-02-24 10:01:02,45319.05,Talwar-Bhatia,Groceries,0
6204037621,Hemangini Nair,Tamil Nadu,1970-09-09,263529,2025-01-09 16:41:26,22685.84,Sen-Minhas,Electronics,0
9938877648,Kamya Sampath,Kerala,1991-10-22,832436,2024-06-08 01:47:24,4206.31,"Mammen, Borra and Mistry",Clothing,0
9278967331,Libni Sinha,Bihar,1970-03-29,341269,2025-04-17 23:24:21,36995.7,Bala Ltd,Electronics,0
6900487211,Abhimanyu Mand,Andhra Pradesh,1971-04-19,597566,2025-01-01 05:16:30,43673.59,Divan-Chada,Travel,0
8490166301,Ekanta Basak,Manipur,1982-04-21,298120,2024-12-26 23:09:00,7100.1,Lanka LLC,Travel,0
9851369560,Yasti Warrior,Karnataka,1999-03-29,869550,2025-02-10 19:19:13,43781.99,"Rege, Mital and Parekh",Clothing,0
9376313390,Aarnav Balasubramanian,Goa,1997-12-12,030572,2024-06-04 20:38:48,46841.23,Ben Ltd,Travel,0
6466312170,Shravya Batra,Chhattisgarh,1983-05-01,980260,2024-05-24 22:25:06,36660.98,Dhaliwal-Nagarajan,Travel,1
8821598671,Ronith Pathak,Haryana,1979-12-15,917511,2024-11-09 23:48:14,6296.09,"Sami, Babu and Mittal",Travel,1
9779815804,Yatin Mani,Chandigarh,1991-12-15,332842,2025-03-29 18:45:28,31798.0,"Dutt, Swaminathan and Sur",Electronics,1
8196172326,Reyansh Bhatia,Kerala,1998-08-28,986827,2024-07-22 19:30:10,46178.82,"Taneja, Savant and Iyengar",Groceries,1
9621267313,Kritika Srivastava,Jammu and Kashmir,1992-01-25,022061,2024-10-25 03:11:52,15365.3,Sachdeva-Ranganathan,Utilities,0
9700562278,Faqid Nanda,Telangana,1992-03-11,548495,2024-09-15 07:43:17,7715.31,Raju PLC,Travel,1
7877360497,Rajata Nigam,Bihar,2007-01-03,868423,2025-02-19 16:05:32,48745.73,"Golla, Modi and Patel",Clothing,0
8209399718,Abdul Buch,Tripura,1973-12-25,030991,2024-12-12 19:56:01,8445.05,Vaidya-Iyengar,Groceries,1
7427338896,Ronith Nayar,Puducherry,1966-10-09,931254,2025-02-01 09:53:58,3402.72,Raghavan Inc,Electronics,1
8232093949,Prisha Dugar,Punjab,1982-05-02,395504,2025-03-03 20:41:15,27769.61,"Oza, Mohan and Nayak",Travel,1
7624672069,Gabriel Kale,Chandigarh,1987-09-16,159956,2024-05-29 10:27:02,42970.86,"Srinivas, Bawa and Lala",Travel,0
7443737627,Fitan Nazareth,Assam,1976-11-02,364959,2024-05-21 09:40:19,46444.93,"Borra, Bobal and Divan",Utilities,0
7663982650,Anamika Varkey,Himachal Pradesh,1982-04-18,801248,2024-06-17 02:32:00,39708.17,"Dhillon, Bhagat and Upadhyay",Clothing,1
7917371861,Anamika Vala,Jammu and Kashmir,1994-08-10,112722,2024-05-27 07:52:52,15656.94,"Prashad, Dar and Kapoor",Travel,1
9766760640,Farhan Mody,Maharashtra,1994-01-21,033602,2025-04-10 09:27:34,48593.6,Iyer Group,Travel,1
9400348509,Yachana Sodhi,Karnataka,2006-03-29,340215,2024-06-29 03:04:35,19556.55,Reddy LLC,Electronics,1
6992903184,Falak Salvi,Meghalaya,1968-02-28,285804,2024-06-04 05:30:52,40700.29,Andra-Raja,Clothing,1
7152441420,Wridesh Singh,Lakshadweep,2005-12-19,904432,2024-12-16 02:30:51,29117.6,"Kapadia, Bhavsar and Chopra",Clothing,0
7811386943,Wishi Kamdar,Assam,1995-09-18,355169,2024-06-12 16:12:38,12588.15,Krish-Chhabra,Travel,1
6363639960,Nilima Kale,Goa,1976-11-05,502544,2024-09-10 05:44:42,40695.72,Panchal Inc,Groceries,0
8523757088,Jason Mangat,Sikkim,2001-08-07,568395,2024-12-04 13:50:16,14512.52,"Contractor, Nanda and Oak",Groceries,0
7433288397,Nitara Bains,Uttarakhand,1994-09-27,091044,2025-02-08 16:47:45,12566.37,"Garde, Sanghvi and Gokhale",Utilities,0
7951375894,Zaitra Nagy,Dadra and Nagar Haveli and Daman and Diu,1971-09-16,120349,2024-05-13 21:46:19,24581.25,"Bansal, Dhingra and Sampath",Groceries,1
7566408775,Tanmayi Singh,Jammu and Kashmir,2001-03-18,095928,2025-01-16 09:20:00,48222.83,Subramaniam-Doshi,Clothing,0
7285221283,Yachana Lal,Chhattisgarh,1997-05-02,819643,2024-08-02 06:43:00,36434.31,Sane-Biswas,Electronics,1
8402841522,Eta Shukla,Bihar,1990-05-13,784136,2024-09-13 03:32:33,42370.71,Nair-Om,Groceries,1
6107425848,Vyanjana Subramaniam,Sikkim,1979-06-19,539926,2024-08-26 17:59:53,11520.5,Merchant-Pillay,Electronics,0
6897132038,Hema Narula,Assam,2001-07-06,989673,2025-02-18 15:38:02,23581.41,Garde-Solanki,Travel,0
9261024328,Advaith Sekhon,Uttarakhand,2000-10-14,046420,2025-02-11 22:04:33,39724.19,"Dugar, Bains and Kamdar",Clothing,0
8657326713,Isaiah Anne,Jammu and Kashmir,1971-11-03,805948,2025-04-19 13:39:05,3296.07,"Sinha, Bhatt and Prakash",Electronics,0
6891349076,Mahika Gopal,Punjab,1968-03-08,240093,2024-05-08 07:00:54,30339.89,Nagi Inc,Electronics,0
9863501695,Aashi Boase,Gujarat,1998-06-14,931254,2025-03-18 15:12:31,23799.98,"Sama, Prabhakar and Natt",Travel,0
7273244647,Anirudh Tella,Uttarakhand,1984-06-16,145598,2025-02-10 01:41:59,1543.21,"Sen, Sanghvi and Bhagat",Utilities,1
9040008650,Patrick Walla,Gujarat,1981-02-16,421675,2024-07-15 21:13:19,39999.81,Karnik-Gola,Utilities,1
7909606445,Zaitra Jha,Rajasthan,2001-05-20,270010,2025-02-06 08:50:08,19361.45,"Chauhan, Choudhury and Suresh",Groceries,0
7295936148,Omaja Lala,Goa,1973-02-18,691298,2024-11-05 15:14:08,39798.2,Dash-Sehgal,Clothing,0
8186349637,Anita Contractor,Puducherry,1972-12-21,850027,2024-05-12 01:27:04,1461.26,Padmanabhan-Konda,Utilities,1
7304859526,Jairaj Mukherjee,Punjab,1976-08-28,062288,2025-01-26 09:46:06,3594.04,Hora-Bava,Groceries,1
